iteration,Grid Search,Random Search,Bayesian (GP),Optuna TPE
0,10.209446176235156,10.672583880058221,10.209218507168321,10.437992747250602
1,10.209446176235156,10.242496055030147,10.209218507168321,10.21308666796381
2,10.191016424132018,10.242496055030147,10.201752249374627,10.189388679431639
3,10.191016424132018,10.242496055030147,10.201752249374627,10.189388679431639
4,10.191016424132018,10.242496055030147,10.201752249374627,10.189388679431639
5,10.191016424132018,10.242496055030147,10.177069671134104,10.189388679431639
6,10.189540140305049,10.237349476589038,10.177069671134104,10.189388679431639
7,10.189540140305049,10.207296696140816,10.177069671134104,10.189388679431639
8,10.189540140305049,10.207296696140816,10.177069671134104,10.174233233317546
9,10.189540140305049,10.207296696140816,10.177069671134104,10.174233233317546
10,10.189540140305049,10.207296696140816,10.177069671134104,10.174233233317546
11,10.189540140305049,10.207296696140816,10.177069671134104,10.147038131178197
12,10.189540140305049,10.207296696140816,10.177069671134104,10.147038131178197
13,10.189540140305049,10.184623828529519,10.177069671134104,10.147038131178197
14,10.189540140305049,10.184623828529519,10.177069671134104,10.147038131178197
15,10.189540140305049,10.184623828529519,10.177069671134104,10.147038131178197
16,,10.184623828529519,10.177069671134104,10.147038131178197
17,,10.184623828529519,10.15492435636517,10.147038131178197
18,,10.184623828529519,10.15492435636517,10.147038131178197
19,,10.162531009107404,10.15492435636517,10.147038131178197
20,,10.162531009107404,10.15492435636517,10.147038131178197
21,,10.162531009107404,10.15492435636517,10.147038131178197
22,,10.162531009107404,10.15492435636517,10.147038131178197
23,,10.162531009107404,10.15492435636517,10.147038131178197
24,,10.162531009107404,10.15492435636517,10.147038131178197
25,,10.162531009107404,10.15492435636517,10.147038131178197
26,,10.162531009107404,10.15492435636517,10.147038131178197
27,,10.162531009107404,10.15492435636517,10.147038131178197
28,,10.162531009107404,10.15492435636517,10.147038131178197
29,,10.162531009107404,10.15492435636517,10.147038131178197
