module_type,dataset,split_type,cv_r2_mean,test_r2,cv_rmse_mean,test_rmse,r2_diff,rmse_diff
Feature Only,ws,rm,0.9791185855865479,0.9843924045562744,0.3007517644943774,0.2618417024041815,-0.0052738189697265625,-0.03891006209019593
Feature Only,de,rm,0.9745541572570801,0.9748911261558533,0.33085886562238737,0.33490941844259015,-0.00033696889877321556,0.00405055282020278
Feature Only,lo,rm,0.9622946500778198,0.9699805974960327,0.3128684976192078,0.2815193634775857,-0.007685947418212935,-0.031349134141622104
Feature Only,hu,rm,0.9510283827781677,0.9594064950942993,0.4411866774010617,0.41110309121898153,-0.008378112316131614,-0.03008358618208018
Structure Only,ws,rm,0.9616610765457153,0.9628658294677734,0.4092837774749647,0.40388478825289165,-0.0012047529220581277,-0.005398989222073047
Structure Only,de,rm,0.9714700222015381,0.9644414782524109,0.3547759385064052,0.39855284049879114,0.0070285439491272195,0.04377690199238593
Structure Only,lo,rm,0.9805521249771119,0.9831438064575195,0.2260094058157855,0.21095372949966676,-0.0025916814804076704,-0.015055676316118732
Structure Only,hu,rm,0.9806780815124512,0.9759908318519592,0.282496969657594,0.31616282812795354,0.004687249660491943,0.03366585847035952
Feature→Structure,ws,rm,0.9706236124038696,0.9856008291244507,0.3559330020555279,0.2517061871614625,-0.014977216720581055,-0.10422681489406543
Feature→Structure,de,rm,0.9738102078437805,0.9741733074188232,0.3363285262284557,0.339663315151577,-0.000363099575042769,0.003334788923121279
Feature→Structure,lo,rm,0.950530207157135,0.9560689330101013,0.34614733231320305,0.341015571253402,-0.005538725852966331,-0.0051317610598010654
Feature→Structure,hu,rm,0.9664217352867126,0.8916692733764648,0.36330935392869557,0.6716128880416657,0.07475246191024776,0.3083035341129702
Structure→Feature,ws,rm,0.9639240741729737,0.9795610904693604,0.3929310347504952,0.29988438792558364,-0.015637016296386697,-0.09304664682491154
Structure→Feature,de,rm,0.9776390314102172,0.9778046607971191,0.30898017923669086,0.3148798919455219,-0.00016562938690189988,0.005899712708831051
Structure→Feature,lo,rm,0.9511277556419373,0.9441030025482178,0.34699253988446943,0.3846649193043637,0.007024753093719527,0.037672379419894264
Structure→Feature,hu,rm,0.954087233543396,0.9670275449752808,0.4109588517901086,0.370526130637687,-0.012940311431884788,-0.04043272115242158
